Ad ID,Primary Text,Headline,CTA Text,Ad Format,First Seen Date,Landing Page URL
834834686019691,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Automate Productivity. Elevate Collaboration.",Get offer,Image,2025-11-28,https://fb.me/notion-business-trial
1389433929469593,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Transform Productivity with AI-Driven Collaboration",Get offer,Image,2025-11-29,https://fb.me/notion-business-trial
1381451773574930,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Work smarter, not harder with AI-driven collaboration.",Get offer,Image,2025-11-28,https://fb.me/notion-business-trial
1164385105342143,"🎯 Strategic Investment: Up to 3 Months of Notion Business at Zero Cost → Enterprise-Grade AI Suite → No Financial Commitment Required > Invite your team!","Smart Collaboration Meets AI Automation",Get offer,Image,2025-11-30,https://fb.me/notion-business-trial
1543942936751571,"🎯 Act Fast: Get Your Notion Business Plan FREE for 3 Months → Full AI Suite Included → No Credit Card Required","Get up to $12,000 of Free Notion",Get offer,Image,2025-11-28,https://fb.me/notion-business-trial
2590426494652106,"We're changing the way work gets done. Collaboration meets AI meets beautiful functionality.","Bug Tracker Demo",Watch Video,Video,2025-11-28,https://fb.me/notion-business-trial
955696807615546,"We're changing the way work gets done. Collaboration meets AI meets beautiful functionality.","Product Demo Video",Watch Video,Video,2025-11-28,https://fb.me/notion-business-trial
1798801960785200,"🎯 Act Fast: Get Your Notion Business Plan FREE for 3 Months → Full AI Suite Included → No Credit Card Required","Transform Productivity with AI-Driven Collaboration",Get offer,Image,2025-11-15,https://fb.me/notion-business-trial
1139309041645845,"🎯 Act Fast: Get Your Notion Business Plan FREE for 3 Months → Full AI Suite Included → No Credit Card Required","Smart Collaboration Meets AI Automation",Get offer,Image,2025-11-16,https://fb.me/notion-business-trial
1757760241591478,"🎯 Act Fast: Get Your Notion Business Plan FREE for 3 Months → Full AI Suite Included → No Credit Card Required","Work smarter, not harder with AI-driven collaboration.",Get offer,Image,2025-11-16,https://fb.me/notion-business-trial
1147019664259078,"We're changing the way work gets done. Collaboration meets AI meets beautiful functionality.","Smart Collaboration Meets AI Automation",Get offer,Image,2025-11-16,https://fb.me/notion-business-trial
1119040853728548,"We're changing the way work gets done. Collaboration meets AI meets beautiful functionality.","Organize Everything. Accomplish Anything.",Get offer,Image,2025-11-07,https://fb.me/notion-business-trial
1192539639648357,"We're changing the way work gets done. Collaboration meets AI meets beautiful functionality.","Automate Productivity. Elevate Collaboration.",Get offer,Image,2025-11-03,https://fb.me/notion-business-trial
1499348791210803,"We want you to enjoy all the best Notion tools for productivity, collaboration, and organization. Now offering a Free 3 Month Trial of Notion with full access to Notion AI.","Smart Collaboration Meets AI Automation",Get offer,Image,2025-11-05,https://fb.me/notion-business-trial
2504624180833745,"We want you to enjoy all the best Notion tools for productivity, collaboration, and organization. Now offering a Free 3 Month Trial of Notion with full access to Notion AI.","Get up to $12,000 of Free Notion",Get offer,Image,2025-11-03,https://fb.me/notion-business-trial
1121120940177604,"We want you to enjoy all the best Notion tools for productivity, collaboration, and organization. Now offering a Free 3 Month Trial of Notion with full access to Notion AI.","Organize Everything. Accomplish Anything.",Get offer,Image,2025-11-03,https://fb.me/notion-business-trial
VIDEO_TESTIMONIAL_01,"🎯 Act Fast: Get Your Notion Business Plan FREE for 3 Months → Full AI Suite Included → No Credit Card Required","We cut Ramp's tool costs by over 70%",Watch Video,Video,2025-10-15,https://fb.me/notion-business-trial
IMAGE_OCT_01,"We're changing the way work gets done. Collaboration meets AI meets beautiful functionality.","Work smarter. Not harder. with AI-driven Collaboration.",Get offer,Image,2025-10-01,https://fb.me/notion-business-trial
